Variable,Outcome Class,Count,Mean,St. Dev.,Median,95% CI Lower,95% CI Upper,Min,Max,Skew,Kurtosis
BMI,0.0,"375,218",28.59,6.54,27.44,28.57,28.61,12.0,99.84,1.41,4.67
BMI,1.0,"23,558",28.31,7.16,27.12,28.22,28.4,12.4,94.61,1.39,4.13
BMI,,"15,857",28.1,6.64,27.12,28.0,28.21,12.05,94.94,1.73,7.35
Number_of_Children,0.0,"397,669",0.47,1.11,0.0,0.46,0.47,0.0,83.0,16.79,1056.8
Number_of_Children,1.0,"24,380",0.7,1.17,0.0,0.68,0.71,0.0,22.0,2.83,20.07
Number_of_Children,,"26,242",0.55,1.44,0.0,0.53,0.57,0.0,82.0,22.78,1170.47
Marijuana_Use_30_Days,0.0,"128,346",2.0,6.79,0.0,1.97,2.04,0.0,30.0,3.54,11.12
Marijuana_Use_30_Days,1.0,"7,038",8.75,12.41,0.0,8.46,9.04,0.0,30.0,0.94,-0.93
Marijuana_Use_30_Days,,497,2.7,7.64,0.0,2.03,3.37,0.0,30.0,2.95,7.32
Number_of_Days_Last_Month_Poor_Health,0.0,"226,899",5.33,9.06,0.0,5.3,5.37,0.0,30.0,1.82,2.02
Number_of_Days_Last_Month_Poor_Health,1.0,"18,452",6.78,9.43,2.0,6.64,6.92,0.0,30.0,1.42,0.77
Number_of_Days_Last_Month_Poor_Health,,"17,291",5.55,9.38,0.0,5.41,5.69,0.0,30.0,1.72,1.62
Total_Drinks_30_days,0.0,"192,597",15.5,39.18,5.0,15.32,15.67,0.0,2280.0,15.76,534.51
Total_Drinks_30_days,1.0,"14,504",28.11,77.67,9.0,26.85,29.38,0.0,2280.0,14.16,314.61
Total_Drinks_30_days,,610,24.78,70.4,5.0,19.19,30.37,0.0,900.0,7.43,70.91
Sugar_Soda_Drinks_Per_Day,0.0,"13,945",2.37,6.65,1.0,2.26,2.48,1.0,99.0,12.57,174.15
Sugar_Soda_Drinks_Per_Day,1.0,"1,583",2.9,7.28,2.0,2.54,3.26,1.0,99.0,10.71,132.18
Sugar_Soda_Drinks_Per_Day,,74,1.81,1.29,1.0,1.52,2.1,1.0,7.0,2.06,4.29
Sugar_Soda_Drinks_Per_Week,0.0,"34,068",-38.79,49.21,1.0,-39.31,-38.27,-99.0,99.0,-0.37,-1.84
Sugar_Soda_Drinks_Per_Week,1.0,"3,110",-48.23,50.06,-82.0,-49.99,-46.47,-99.0,30.0,0.02,-1.99
Sugar_Soda_Drinks_Per_Week,,165,-42.95,49.98,1.0,-50.58,-35.32,-99.0,9.0,-0.21,-1.98
Sugar_Soda_Drinks_Per_Month,0.0,"56,441",-82.07,79.91,-98.0,-82.73,-81.42,-199.0,99.0,-0.24,-1.32
Sugar_Soda_Drinks_Per_Month,1.0,"4,475",-100.96,82.89,-98.0,-103.39,-98.53,-199.0,99.0,0.13,-1.41
Sugar_Soda_Drinks_Per_Month,,240,-96.68,80.41,-99.0,-106.85,-86.5,-199.0,30.0,0.03,-1.37
Non_Soda_Sugar_Drinks_Per_Day,0.0,"10,894",2.31,6.57,1.0,2.19,2.44,1.0,99.0,12.6,176.5
Non_Soda_Sugar_Drinks_Per_Day,1.0,"1,265",2.89,7.69,2.0,2.46,3.31,1.0,99.0,9.99,115.8
Non_Soda_Sugar_Drinks_Per_Day,,64,3.27,12.23,1.0,0.27,6.26,1.0,99.0,7.86,62.44
Non_Soda_Sugar_Drinks_Per_Week,0.0,"17,087",2.06,2.16,2.0,2.03,2.09,1.0,99.0,18.2,678.08
Non_Soda_Sugar_Drinks_Per_Week,1.0,"1,538",2.53,2.79,2.0,2.39,2.67,1.0,60.0,9.18,143.36
Non_Soda_Sugar_Drinks_Per_Week,,88,1.98,1.31,2.0,1.7,2.25,1.0,7.0,1.76,3.56
Non_Soda_Sugar_Drinks_Per_Month,0.0,"17,179",5.14,8.42,2.0,5.02,5.27,1.0,99.0,5.27,44.38
Non_Soda_Sugar_Drinks_Per_Month,1.0,"1,288",7.68,10.51,3.0,7.11,8.26,1.0,99.0,3.75,24.09
Non_Soda_Sugar_Drinks_Per_Month,,54,8.89,15.69,2.5,4.71,13.07,1.0,99.0,3.95,20.27
