Variable,Count,Mean,St. Dev.,Median,95% CI Lower,95% CI Upper,Min,Max,Skew,Kurtosis
BMI,"414,633",28.56,6.59,27.44,28.54,28.58,12.0,99.84,1.42,4.74
Number_of_Children,"448,291",0.48,1.14,0.0,0.48,0.49,0.0,83.0,16.75,1028.58
Marijuana_Use_30_Days,"135,881",2.35,7.34,0.0,2.32,2.39,0.0,30.0,3.19,8.68
Number_of_Days_Last_Month_Poor_Health,"262,642",5.45,9.11,0.0,5.41,5.48,0.0,30.0,1.78,1.88
Total_Drinks_30_days,"207,711",16.41,43.24,5.0,16.22,16.59,0.0,2280.0,16.84,570.73
Sugar_Soda_Drinks_Per_Day,"15,602",2.42,6.7,1.0,2.31,2.52,1.0,99.0,12.36,169.41
Sugar_Soda_Drinks_Per_Week,"37,343",-39.6,49.35,1.0,-40.1,-39.1,-99.0,99.0,-0.34,-1.87
Sugar_Soda_Drinks_Per_Month,"61,156",-83.51,80.29,-98.0,-84.15,-82.88,-199.0,99.0,-0.21,-1.34
Non_Soda_Sugar_Drinks_Per_Day,"12,223",2.38,6.74,1.0,2.26,2.5,1.0,99.0,12.2,165.95
Non_Soda_Sugar_Drinks_Per_Week,"18,713",2.1,2.22,2.0,2.07,2.13,1.0,99.0,16.86,585.65
Non_Soda_Sugar_Drinks_Per_Month,"18,521",5.33,8.64,2.0,5.21,5.46,1.0,99.0,5.1,41.74
